@id,identifier,name,organizer,alternateName,startDate,endDate,location,funder,funding,keywords,url,offers,"_subEvent (deprecated)
see Event::superEvent"
mets_0001,,Bermuda Atlantic Time-series Study,person_026|person_027|person_025|person_031,BATS,1988-10-10,,place_001,org_001,monetarygrant_008,"biogeochemistry, oxygen, nutrients, carbon, carbon flux, ",https://bios.asu.edu/bats,,
mets_0002,,Munida Time Series,person_001|person_002,MUNIDA,1998-01-20,,place_002,org_003,monetarygrant_001,"nutrients, carbon",,,
mets_0003,,"European Station for Time series in the Ocean, Canary Islands",person_003|person_004|person_005,ESTOC,1994-03-15,,place_003,org_004,monetarygrant_010,"biogeochemistry, inorganic carbon system, oxygen, nutrients",https://plocan.eu/en/installations/ocean-observatory,,
mets_0004,,Rothera Time Series,org_007|person_022|person_023,RaTS,1997-12-31,,place_004,org_002,monetarygrant_002,"physics, nutrients, biogeochemistry, carbon, carbonate, sea ice",https://www.bas.ac.uk/project/rats/,,
mets_0005,,Northeast U.S. Shelf Long Term Ecological Research,person_016|person_017|person_018,NES-LTER,2017-09-01,,place_005,org_001,monetarygrant_002,"phytoplankon, zooplankton, ecology, biogeochemistry, bacteria, organic matter, dissolved oxygen, stable isotopes, fish",https://nes-lter.whoi.edu/,,
mets_0006,,Hawai'i Ocean Time-series ,person_019|person_024|person_033,HOT,1988-10-10,,place_006,org_001,monetarygrant_009,"biogeochemistry, physical oceanography, carbon chemistry,phytoplankon, zooplankton, ecology, particle flux, WHOTS mooring",https://hahana.soest.hawaii.edu/hot/,offer-0002,
mets_0007,,California Current Ecosystem LTER,person_006|person_007,CCE-LTER,2004-07-01,,place_007,org_001,monetarygrant_003,"biogeochemistry, nutrients, zooplankton, chlorophyll, carbon, oxygen",https://ccelter.ucsd.edu,,
mets_0008,,Western Channel Observatory,org_005|person_014,WCO,1988-01-01,,place_008,org_002,monetarygrant_004,"Chlorophyll pigment concentrations in water bodies, Variable fluorescence parameters, Density of the water column, Silicate concentration parameters in the water column, Phaeopigment concentrations in the water column, Temperature of the water column, Raw fluorometer output, Concentration of suspended particulate material in the water column, Transmittance and attenuance of the water column, Zooplankton taxonomy-related abundance per unit volume of the water column, Concentration of other organic contaminants in the atmosphere, Atmospheric humidity, Salinity of the water column, Wind strength and direction, Particulate total and organic carbon concentrations in the water column, Air pressure, Particulate total and organic nitrogen concentrations in the water column, Light absorption in the water column, Optical backscatter, Electrical conductivity of the water column, Concentration of alkanes in the water column, Bathymetry and Elevation, Carotenoid and flavenoid pigment concentrations in water bodies, Raw light meter output, Air temperature, Raw suspended particulate material concentration sensor output, Urea concentration parameters in the water column, Dissolved total or organic phosphorus concentration in the water column, Zooplankton taxonomy-related biomass expressed as carbon per unit volume of the water column, AMON, Visible waveband radiance and irradiance measurements in the water column, Nitrite concentration parameters in the water column, Ocean colour and earth-leaving visible waveband spectral radiation, Dissolved concentration parameters for other gases in the water column, Phytoplankton taxonomic abundance in water bodies, Visible waveband radiance and irradiance measurements in the atmosphere, Phytoplankton taxonomic biomass in water bodies, Solar Radiation, Zooplankton egg hatch proportion, Sound velocity and travel time in the water column, Dissolved oxygen parameters in the water column, Atmospheric conditions, Orthoimagery, Species distribution, Energy resources, Hydrography, Meteorological geographical features, Elevation, Oceanographic geographical features, Natural Environment Research Council Designated Data Centres, data.gov.uk, Marine Environmental Data and Information Network",https://www.westernchannelobservatory.org.uk/,,ds_001
mets_0009,,Atlantic Meridional Transect,org_005|person_015,AMT,1995-01-01,,place_009,org_002,monetarygrant_004,"Transmittance and attenuance of the water column, Sound velocity and travel time in the water column, Plankton abundance per unit volume of the water column, Horizontal spatial co-ordinates, Metadata parameters, Nitrite concentration parameters in the water column, Variable fluorescence parameters, Reference numbers, Platform or instrument orientation,  Vertical spatial coordinates, Optical backscatter, Quality control flags, Phosphate concentration parameters in the water column, Visible waveband radiance and irradiance measurements in the water column, Bathymetry and Elevation, Electrical conductivity of the water column, Chlorophyll pigment concentrations in water bodies, Air pressure, Raw fluorometer output, Temperature of the water column, Ocean colour and earth-leaving visible waveband spectral radiation, Horizontal platform movement, Phytoplankton taxonomic abundance in water bodies, Silicate concentration parameters in the water column, Atmospheric humidity, Solar Radiation, Wind strength and direction, Carotenoid and flavenoid pigment concentrations in water bodies, Visible waveband radiance and irradiance measurements in the atmosphere, Date and time, Density of the water column, Air temperature, Dissolved concentration parameters for other gases in the water column, Light absorption in the water column, Nitrate concentration parameters in the water column, Salinity of the water column, water column, water column boundary layer, mesopelagic water column, upper epipelagic water column, epipelagic water column, Oceanographic geographical features, Geographical grid systems, Energy resources, Species distribution, Orthoimagery, Atmospheric conditions, Hydrography, Elevation, Coordinate reference systems, Meteorological geographical features, Natural Environment Research Council Designated Data Centres, Marine Environmental Data and Information Network",https://amt-uk.org/,,EDMED207
mets_0010,,Boknis Eck Time Series Station,person_008|person_038,BE,1957-04-30,,place_010,org_010|org_32|org_033|org_034|org_035|org_036,,"N2O, methane, nutrients, carbon cycling, phytoplankton, bacteria, Baltic Sea",https://www.bokniseck.de,,
mets_0011,,North Inlet Estuary Zooplankton Time Series,person_010,NIEZTS,1981-01-20,,place_011,org_001|org_016,monetarygrant_011|monetarygrant_013,"zooplankton, salinity, temperature",,,
mets_0012,https://edios.seadatanet.org/report/programme/10139,Porcupine Abyssal Plain - Sustained Observatory,https://orcid.org/0000-0002-2798-5044|person_009|address_004,PAP-SO,1985-06-13,-,place_012,org_002,monetarygrant_016|monetarygrant_017|monetarygrant_018|monetarygrant_007|,"Meteorological data, Surface sensors at 1m and 30m, Zooplankton nets, CTD , Sediment traps, Seabed photography, Amphipod traps, Scientific trawls, Seabed cores,",https://www.bodc.ac.uk/data/bodc_database/nodb/data_collection/5912/,,
mets_0013,,South Florida Ecosystem Restoration ,org_037,SFER,1998-01-29,,place_013,org_037,,"water quality, HABs, biodiversity observing, eDNA, ecosystem stressors",https://www.aoml.noaa.gov/cruising-for-conservation/,,
mets_0014,,East Coast Ocean Acidification Cruises  ,org_013,ECOA ,2007-07-10,,place_014,org_013,,"carbon, ocean acidification, biogeochemistry, oxygen, nutrients, phytoplankton, zooplankton, bacteria",,,
mets_0015,,Booth Bay Dock,person_011,BHD,2001-11-01,,place_015,org_017,,"phytoplankton, salinity, temperature, bacteria, chlorophyll a",https://www.st.nmfs.noaa.gov/plankton/time-series/us-10401/,,
mets_0016,,Ocean Weather Station M,person_012|org_019,Station M|OWSM,1948-06-01,,place_016,org_018|org_019|org_020,,"inorganic carbon, ocean acidification, biogeochemistry, oxygen, nutrients",,,
mets_0017,,Estación Permanente de Estudios Ambientales,person_028|person_029|person_030,EPEA,2000-02-10,,place_018,org_024,monetarygrant_012|monetarygrant_015,"plankton, biooptics, biogeochemistry, temperature, salinity",https://www.argentina.gob.ar/programa-dinamica-del-plancton-marino-y-cambio-climatico/variables-medidas,,
mets_0018,,Monterey Bay Time Series,person_020|person_021,MBTS,1988-06-01,,place_017,org_022,monetarygrant_014,"biogeochemistry, nutrients, zooplankton, chlorophyll, carbon, oxygen, pp, autonomous platforms",,,
mets_0019,,Ellett Array,person_037,Ellett Array,1979-04-04,,,org_002,,,https://projects.noc.ac.uk/ellett-array/about,,
mets_0020,,CARIACO Ocean Time Series,person_034|person_035|person_036,CARIACO,1995-11-01,2017-01-30,place_019,org_026|org_027|org_028,,"hydrography, biogeochemistry, nutrients, carbon, primary productivity, phytoplankton, zooplankton, sediment traps",,,
mets_0021,,Irminger Sea TS,person_32,FX9,1983-03-05,,,org_030,,"inorganic carbon, ocean acidification, biogeochemistry, oxygen, nutrients",https://imars.usf.edu/?page_id=1027,,
mets_0022,,Iceland Sea TS,person_32,LN6,1985-02-22,,,org_030,,"inorganic carbon, ocean acidification, biogeochemistry, oxygen, nutrients",,,
mets_0023,,West Coast Ocean Acidification Cruises,org_013,WCOA,2007-05-11,,place_020,org_013,,"carbon, ocean acidification, biogeochemistry, oxygen, nutrients, phytoplankton, zooplankton, bacteria",,,
mets_0024,,Gulf of Mexico Ocean Acidification Cruises,org_013,GOMECC,2007-07-10,,place_021,org_013,,"carbon, ocean acidification, biogeochemistry, oxygen, nutrients, phytoplankton, zooplankton, bacteria",,,
mets_0025,,RAPID 26North,org_002,RAPID,,,,,,,https://rapid.ac.uk/,,